"table_schema","table_name","table_size","table_size_p","indexes_size","indexes_size_p","total_size","total_size_p","row_count_approx","last_analyze","row_count_exact"
dwh_bckp,s01_led_acc_det_bkp_1_prt_146_2020_03_11,0,"0 bytes",1474560,"1440 kB",1474560,"1440 kB",0,,0
dwh_bckp,s01_led_acc_det_bkp_1_prt_172_2020_05_28,0,"0 bytes",1474560,"1440 kB",1474560,"1440 kB",0,,0
dwh_dds,acc_transaction_1_prt_2_2019_01_04,294912,"288 kB",1179648,"1152 kB",1474560,"1440 kB",0,2020-12-12 05:54:16,0
dwh_dds,acc_transaction_1_prt_44_2019_05_10,294912,"288 kB",1179648,"1152 kB",1474560,"1440 kB",0,2020-12-12 05:54:17,0
dwh_dds,acc_transaction_1_prt_117_2019_12_15,294912,"288 kB",1179648,"1152 kB",1474560,"1440 kB",0,2020-12-12 05:54:18,0
dwh_dds,acc_transaction_1_prt_113_2019_12_03,294912,"288 kB",1179648,"1152 kB",1474560,"1440 kB",0,2020-12-12 05:54:18,0
dwh_bckp,s01_led_acc_det_bkp_1_prt_83_2019_09_04,0,"0 bytes",1474560,"1440 kB",1474560,"1440 kB",0,,0
dwh_dds,acc_transaction_1_prt_309_2021_07_13,294912,"288 kB",1179648,"1152 kB",1474560,"1440 kB",0,2020-12-12 05:55:38,0
dwh_bckp,s01_led_acc_det_bkp_1_prt_174_2020_06_03,0,"0 bytes",1474560,"1440 kB",1474560,"1440 kB",0,,0
dwh_bckp,s01_led_acc_det_bkp_1_prt_283_2021_04_26,0,"0 bytes",1474560,"1440 kB",1474560,"1440 kB",0,,0
dwh_bckp,s01_led_acc_det_bkp_1_prt_255_2021_02_01,0,"0 bytes",1474560,"1440 kB",1474560,"1440 kB",0,,0
dwh_dds,acc_transaction_1_prt_289_2021_05_14,294912,"288 kB",1179648,"1152 kB",1474560,"1440 kB",0,2020-12-12 05:55:38,0
dwh_bckp,s01_led_acc_det_bkp_1_prt_280_2021_04_17,0,"0 bytes",1474560,"1440 kB",1474560,"1440 kB",0,,0
dwh_dds,acc_transaction_1_prt_93_2019_10_04,294912,"288 kB",1179648,"1152 kB",1474560,"1440 kB",0,2020-12-12 05:54:17,0
dwh_dds,acc_transaction_1_prt_270_2021_03_18,294912,"288 kB",1179648,"1152 kB",1474560,"1440 kB",0,2020-12-12 05:55:37,0
dwh_bckp,s01_led_acc_det_bkp_1_prt_350_2021_11_13,0,"0 bytes",1474560,"1440 kB",1474560,"1440 kB",0,,0
dwh_dds,acc_transaction_1_prt_190_2020_07_21,294912,"288 kB",1179648,"1152 kB",1474560,"1440 kB",0,2020-12-12 05:54:19,0
dwh_bckp,s01_led_acc_det_bkp_1_prt_334_2021_09_26,0,"0 bytes",1474560,"1440 kB",1474560,"1440 kB",0,,0
dwh_bckp,s01_led_acc_det_bkp_1_prt_61_2019_06_30,0,"0 bytes",1474560,"1440 kB",1474560,"1440 kB",0,,0
dwh_dds,acc_transaction_1_prt_286_2021_05_05,294912,"288 kB",1179648,"1152 kB",1474560,"1440 kB",0,2020-12-12 05:55:38,0
dwh_bckp,s01_led_acc_det_bkp_1_prt_306_2021_07_04,0,"0 bytes",1474560,"1440 kB",1474560,"1440 kB",0,,0
dwh_dds,acc_transaction_1_prt_83_2019_09_04,294912,"288 kB",1179648,"1152 kB",1474560,"1440 kB",0,2020-12-12 05:54:17,0
dwh_bckp,s01_led_acc_det_bkp_1_prt_343_2021_10_23,0,"0 bytes",1474560,"1440 kB",1474560,"1440 kB",0,,0
dwh_bckp,s01_led_acc_det_bkp_1_prt_78_2019_08_20,0,"0 bytes",1474560,"1440 kB",1474560,"1440 kB",0,,0
dwh_bckp,s01_led_acc_det_bkp_1_prt_13_2019_02_06,0,"0 bytes",1474560,"1440 kB",1474560,"1440 kB",0,,0
